customer_id,tenure,contract_type,payment_method,paperless_billing,senior_citizen,monthly_charges,total_charges,num_products,tech_support,online_security,streaming_tv,internet_service,customer_service_calls,avg_monthly_gb_download,churn
CUST00000,7.0,Month-to-Month,Mailed Check,1,0,18.0,121.19661362691173,3,0,1,1,Fiber Optic,1,13.587489335689149,0
CUST00001,56.0,One Year,Electronic Check,1,0,19.16121480035688,1050.4579325891646,4,1,1,1,Fiber Optic,2,10.623710295579484,0
CUST00002,48.0,One Year,Electronic Check,1,0,26.851466854161533,1283.7369669107654,4,1,1,1,No,5,31.80081765099498,0
CUST00003,32.0,Month-to-Month,Credit Card,1,0,39.72405227413402,1346.1069999236522,2,0,0,1,DSL,0,2.8269062356401835,0
CUST00004,32.0,Month-to-Month,Mailed Check,1,0,39.02042212701511,1298.2859267456017,4,1,0,1,No,6,17.6671453387359,1
CUST00005,62.0,Month-to-Month,Electronic Check,1,1,29.39041877096587,1804.205719739788,3,0,1,1,Fiber Optic,2,1.101364738335795,0
CUST00006,7.0,One Year,Electronic Check,0,1,20.834352985629664,169.32817014146733,2,1,1,1,Fiber Optic,1,48.13541822834215,0
CUST00007,51.0,One Year,Credit Card,1,0,18.0,979.3544124852774,4,0,0,1,Fiber Optic,3,8.872074824484734,0
CUST00008,15.0,One Year,Mailed Check,1,0,18.0,287.3713918410773,2,1,0,1,DSL,7,27.86439283485496,1
CUST00009,7.0,Month-to-Month,Mailed Check,1,0,18.0,132.03626860362994,3,0,0,1,DSL,4,2.2360408842227684,1
CUST00010,38.0,Month-to-Month,Electronic Check,0,0,18.573110471479833,601.2632683027189,6,0,0,0,Fiber Optic,1,0.31665165816969326,0
CUST00011,71.0,Month-to-Month,Electronic Check,0,0,30.30739988453842,2214.1133663304736,4,0,0,1,Fiber Optic,9,11.181404328723236,0
CUST00012,53.0,Month-to-Month,Credit Card,1,0,48.10529741486653,2498.164866205929,4,0,1,0,DSL,8,16.540649636576735,0
CUST00013,55.0,One Year,Bank Transfer,0,0,18.0,896.464262279392,4,1,1,1,Fiber Optic,5,0.1327672839498606,0
CUST00014,52.0,Month-to-Month,Mailed Check,0,0,18.0,845.7850401266734,1,1,0,0,Fiber Optic,3,7.497931705631332,0
CUST00015,57.0,Month-to-Month,Credit Card,1,0,39.53881197505899,2210.956896309055,1,1,1,0,DSL,9,21.065911825420567,1
CUST00016,37.0,Month-to-Month,Mailed Check,1,0,18.0,690.2983079962722,3,0,1,1,Fiber Optic,5,17.097969724783038,0
CUST00017,10.0,Month-to-Month,Credit Card,0,0,40.64724211260007,464.504136904616,1,0,1,0,DSL,4,6.061354341858147,1
CUST00018,61.0,One Year,Electronic Check,0,0,,1115.0828455543044,2,0,0,1,No,4,2.6880723713589085,0
CUST00019,33.0,Month-to-Month,Mailed Check,1,1,34.857394270532396,1237.069654716536,1,1,0,0,DSL,6,1.5494887572543807,0
CUST00020,37.0,Two Year,Credit Card,1,0,18.0,645.8428263688631,4,0,0,0,No,7,19.874289672774967,0
CUST00021,27.0,Two Year,Credit Card,1,0,24.81364151694513,658.3647342806532,6,1,1,1,Fiber Optic,7,22.096962355033103,0
CUST00022,14.0,Two Year,Bank Transfer,1,0,51.24724290063746,624.1234086675819,1,1,0,1,Fiber Optic,8,2.433986375544152,0
CUST00023,67.0,One Year,Bank Transfer,0,0,18.0,1177.2097545767451,6,0,0,0,Fiber Optic,2,61.768045178994846,0
CUST00024,57.0,One Year,Credit Card,1,0,18.0,923.8986361058402,3,1,1,1,Fiber Optic,6,4.19379981981861,0
CUST00025,47.0,One Year,Bank Transfer,1,0,21.17317682568093,928.0531456572862,1,1,1,1,No,8,20.579933179130645,0
CUST00026,29.0,Month-to-Month,Electronic Check,1,1,47.87991936597199,1420.0238174526469,2,0,1,1,DSL,1,15.27632601568704,0
CUST00027,60.0,Month-to-Month,Mailed Check,1,1,27.68747567752722,1576.8947996209265,3,1,1,1,No,0,4.101039392496012,0
CUST00028,40.0,One Year,Bank Transfer,0,0,20.66923571477983,747.3597887697208,3,0,0,1,No,0,2.951719596188233,0
CUST00029,32.0,Month-to-Month,Bank Transfer,0,0,27.536199110665155,793.2680533198546,2,0,0,0,No,7,0.05288902738018634,1
CUST00030,33.0,Month-to-Month,Credit Card,1,0,18.0,632.8184190308319,6,0,0,0,No,3,11.206222116852153,0
CUST00031,17.0,Two Year,Mailed Check,0,0,22.688414143032215,467.6481828453883,4,1,0,0,DSL,5,7.152888438984405,0
CUST00032,7.0,Month-to-Month,Electronic Check,1,0,19.107540007356306,130.01608564186876,2,0,0,0,No,3,0.5384537011883112,0
CUST00033,40.0,Month-to-Month,Electronic Check,1,0,44.83692610941458,1840.6212856922232,2,1,1,1,Fiber Optic,7,22.977012346831994,1
CUST00034,64.0,One Year,Credit Card,0,1,31.9698168876662,1987.8649794218713,3,1,0,0,Fiber Optic,4,4.879470249039356,0
CUST00035,5.0,Month-to-Month,Electronic Check,1,0,18.0,151.49464354879535,6,1,1,1,DSL,9,13.612765787965193,1
CUST00036,62.0,Two Year,Credit Card,1,0,,1080.2158580763555,6,1,1,1,DSL,5,1.1008368218735796,0
CUST00037,60.0,Month-to-Month,Electronic Check,1,0,32.91978908010036,2008.566285550036,2,1,0,1,DSL,7,17.004347290777204,1
CUST00038,20.0,Two Year,Mailed Check,0,0,18.0,358.63886290128346,5,0,0,1,DSL,4,8.971350172444522,0
CUST00039,46.0,One Year,Credit Card,0,0,18.0,732.101528137947,3,1,0,1,Fiber Optic,3,25.646070147066332,0
CUST00040,12.0,Month-to-Month,Mailed Check,0,0,18.070295552067076,172.58558206244328,2,0,0,0,No,1,16.91498496366539,0
